date,airport_code,flights_count
2019-03-08,HND,259
2019-03-08,KIX,130
2019-03-08,FUK,81
2019-03-08,CTS,27
2019-03-09,NRT,340
2019-03-09,HND,303
2019-03-09,KIX,150
2019-03-09,FUK,84
2019-03-09,CTS,34
2019-03-10,NRT,373
2019-03-10,HND,307
2019-03-10,KIX,160
2019-03-10,FUK,90
2019-03-10,CTS,32
2019-03-11,NRT,345
2019-03-11,HND,279
2019-03-11,KIX,146
2019-03-11,FUK,83
2019-03-11,CTS,32
2019-03-12,NRT,347
2019-03-12,HND,261
2019-03-12,KIX,152
2019-03-12,FUK,79
2019-03-12,CTS,28
2019-03-13,NRT,314
2019-03-13,HND,300
2019-03-13,KIX,127
2019-03-13,FUK,82
2019-03-13,CTS,29
2019-03-14,NRT,291
2019-03-14,HND,310
2019-03-14,KIX,140
2019-03-14,FUK,82
2019-03-14,CTS,32
2019-03-15,NRT,343
2019-03-15,HND,271
2019-03-15,KIX,133
2019-03-15,FUK,89
2019-03-15,CTS,28
2019-03-16,NRT,383
2019-03-16,HND,339
2019-03-16,KIX,168
2019-03-16,FUK,91
2019-03-16,CTS,36
2019-03-17,NRT,376
2019-03-17,HND,342
2019-03-17,KIX,166
2019-03-17,FUK,87
2019-03-17,CTS,30
2019-03-18,NRT,307
2019-03-18,HND,305
2019-03-18,KIX,144
2019-03-18,FUK,85
2019-03-18,CTS,32
2019-03-19,NRT,344
2019-03-19,HND,288
2019-03-19,KIX,152
2019-03-19,FUK,88
2019-03-19,CTS,31
2019-03-20,NRT,295
2019-03-20,HND,275
2019-03-20,KIX,144
2019-03-20,FUK,92
2019-03-20,CTS,31
2019-03-21,NRT,329
2019-03-21,HND,257
2019-03-21,KIX,130
2019-03-21,FUK,79
2019-03-21,CTS,28
2019-03-22,NRT,319
2019-03-22,HND,304
2019-03-22,KIX,128
2019-03-22,FUK,80
2019-03-22,CTS,30
2019-03-23,NRT,335
2019-03-23,HND,282
2019-03-23,KIX,165
2019-03-23,FUK,99
2019-03-23,CTS,35
2019-03-24,NRT,384
2019-03-24,HND,291
2019-03-24,KIX,150
2019-03-24,FUK,85
2019-03-24,CTS,34
2019-03-25,NRT,336
2019-03-25,HND,273
2019-03-25,KIX,134
2019-03-25,FUK,78
2019-03-25,CTS,30
2019-03-26,NRT,339
2019-03-26,HND,273
2019-03-26,KIX,148
2019-03-26,FUK,92
2019-03-26,CTS,30
2019-03-27,NRT,342
2019-03-27,HND,266
2019-03-27,KIX,129
2019-03-27,FUK,79
2019-03-27,CTS,28
2019-03-28,NRT,311
2019-03-28,HND,290
2019-03-28,KIX,126
2019-03-28,FUK,90
2019-03-28,CTS,27
2019-03-29,NRT,295
2019-03-29,HND,303
2019-03-29,KIX,129
2019-03-29,FUK,82
2019-03-29,CTS,30
2019-03-30,NRT,371
2019-03-30,HND,304
2019-03-30,KIX,151
2019-03-30,FUK,84
2019-03-30,CTS,30
2019-03-31,NRT,386
2019-03-31,HND,318
2019-03-31,KIX,156
2019-03-31,FUK,85
2019-03-31,CTS,32
2019-04-01,NRT,339
2019-04-01,HND,331
2019-04-01,KIX,175
2019-04-01,FUK,104
2019-04-01,CTS,34
2019-04-02,NRT,394
2019-04-02,HND,305
2019-04-02,KIX,150
2019-04-02,FUK,95
2019-04-02,CTS,36
2019-04-03,NRT,362
2019-04-03,HND,341
2019-04-03,KIX,148
2019-04-03,FUK,98
2019-04-03,CTS,33
2019-04-04,NRT,342
2019-04-04,HND,302
2019-04-04,KIX,163
2019-04-04,FUK,90
2019-04-04,CTS,34
2019-04-05,NRT,363
2019-04-05,HND,304
2019-04-05,KIX,156
2019-04-05,FUK,101
2019-04-05,CTS,36
2019-04-06,NRT,380
2019-04-06,HND,391
2019-04-06,KIX,167
2019-04-06,FUK,110
2019-04-06,CTS,36
2019-04-07,NRT,422
2019-04-07,HND,388
2019-04-07,KIX,193
2019-04-07,FUK,112
2019-04-07,CTS,38
2019-04-08,NRT,344
2019-04-08,HND,305
2019-04-08,KIX,162
2019-04-08,FUK,104
2019-04-08,CTS,34
2019-04-09,NRT,385
2019-04-09,HND,338
2019-04-09,KIX,149
2019-04-09,FUK,104
2019-04-09,CTS,32
2019-04-10,NRT,345
2019-04-10,HND,338
2019-04-10,KIX,176
2019-04-10,FUK,107
2019-04-10,CTS,33
2019-04-11,NRT,397
2019-04-11,HND,325
2019-04-11,KIX,148
2019-04-11,FUK,106
2019-04-11,CTS,33
2019-04-12,NRT,354
2019-04-12,HND,296
2019-04-12,KIX,160
2019-04-12,FUK,92
2019-04-12,CTS,34
2019-04-13,NRT,372
2019-04-13,HND,358
2019-04-13,KIX,184
2019-04-13,FUK,100
2019-04-13,CTS,40
2019-04-14,NRT,444
2019-04-14,HND,391
2019-04-14,KIX,165
2019-04-14,FUK,99
2019-04-14,CTS,34
2019-04-15,NRT,389
2019-04-15,HND,325
2019-04-15,KIX,166
2019-04-15,FUK,98
2019-04-15,CTS,31
2019-04-16,NRT,403
2019-04-16,HND,303
2019-04-16,KIX,160
2019-04-16,FUK,92
2019-04-16,CTS,37
2019-04-17,NRT,384
2019-04-17,HND,353
2019-04-17,KIX,153
2019-04-17,FUK,97
2019-04-17,CTS,31
2019-04-18,NRT,382
2019-04-18,HND,310
2019-04-18,KIX,147
2019-04-18,FUK,106
2019-04-18,CTS,37
2019-04-19,NRT,383
2019-04-19,HND,346
2019-04-19,KIX,168
2019-04-19,FUK,103
2019-04-19,CTS,33
2019-04-20,NRT,415
2019-04-20,HND,358
2019-04-20,KIX,183
2019-04-20,FUK,96
2019-04-20,CTS,36
2019-04-21,NRT,376
2019-04-21,HND,369
2019-04-21,KIX,170
2019-04-21,FUK,110
2019-04-21,CTS,39
2019-04-22,NRT,398
2019-04-22,HND,323
2019-04-22,KIX,158
2019-04-22,FUK,96
2019-04-22,CTS,35
2019-04-23,NRT,395
2019-04-23,HND,295
2019-04-23,KIX,166
2019-04-23,FUK,102
2019-04-23,CTS,37
2019-04-24,NRT,349
2019-04-24,HND,314
2019-04-24,KIX,156
2019-04-24,FUK,92
2019-04-24,CTS,33
2019-04-25,NRT,353
2019-04-25,HND,309
2019-04-25,KIX,159
2019-04-25,FUK,100
2019-04-25,CTS,32
2019-04-26,NRT,388
2019-04-26,HND,354
2019-04-26,KIX,174
2019-04-26,FUK,91
2019-04-26,CTS,31
2019-04-27,NRT,418
2019-04-27,HND,358
2019-04-27,KIX,184
2019-04-27,FUK,97
2019-04-27,CTS,37
2019-04-28,NRT,370
2019-04-28,HND,386
2019-04-28,KIX,191
2019-04-28,FUK,115
2019-04-28,CTS,41
2019-04-29,NRT,350
2019-04-29,HND,347
2019-04-29,KIX,159
2019-04-29,FUK,105
2019-04-29,CTS,37
2019-04-30,NRT,345
2019-04-30,HND,322
2019-04-30,KIX,145
2019-04-30,FUK,89
2019-04-30,CTS,31
2019-05-01,NRT,347
2019-05-01,HND,302
2019-05-01,KIX,151
2019-05-01,FUK,78
2019-05-01,CTS,29
2019-05-02,NRT,342
2019-05-02,HND,280
2019-05-02,KIX,136
2019-05-02,FUK,90
2019-05-02,CTS,27
2019-05-03,NRT,335
2019-05-03,HND,267
2019-05-03,KIX,130
2019-05-03,FUK,85
2019-05-03,CTS,27
2019-05-04,NRT,386
2019-05-04,HND,293
2019-05-04,KIX,142
2019-05-04,FUK,101
2019-05-04,CTS,32
2019-05-05,NRT,323
2019-05-05,HND,325
2019-05-05,KIX,157
2019-05-05,FUK,100
2019-05-05,CTS,33
2019-05-06,NRT,329
2019-05-06,HND,283
2019-05-06,KIX,131
2019-05-06,FUK,80
2019-05-06,CTS,27
2019-05-07,NRT,342
2019-05-07,HND,271
2019-05-07,KIX,136
2019-05-07,FUK,82
2019-05-07,CTS,29
2019-05-08,NRT,305
2019-05-08,HND,306
2019-05-08,KIX,129
2019-05-08,FUK,87
2019-05-08,CTS,30
2019-05-09,NRT,317
2019-05-09,HND,301
2019-05-09,KIX,142
2019-05-09,FUK,81
2019-05-09,CTS,28
2019-05-10,NRT,290
2019-05-10,HND,278
2019-05-10,KIX,143
2019-05-10,FUK,92
2019-05-10,CTS,28
2019-05-11,NRT,381
2019-05-11,HND,289
2019-05-11,KIX,163
2019-05-11,FUK,84
2019-05-11,CTS,31
2019-05-12,NRT,373
2019-05-12,HND,329
2019-05-12,KIX,169
2019-05-12,FUK,92
2019-05-12,CTS,31
2019-05-13,NRT,336
2019-05-13,HND,271
2019-05-13,KIX,131
2019-05-13,FUK,77
2019-05-13,CTS,28
2019-05-14,NRT,305
2019-05-14,HND,303
2019-05-14,KIX,138
2019-05-14,FUK,82
2019-05-14,CTS,29
2019-05-15,NRT,294
2019-05-15,HND,258
2019-05-15,KIX,129
2019-05-15,FUK,76
2019-05-15,CTS,27
2019-05-16,NRT,294
2019-05-16,HND,260
2019-05-16,KIX,142
2019-05-16,FUK,79
2019-05-16,CTS,28
2019-05-17,NRT,304
2019-05-17,HND,311
2019-05-17,KIX,126
2019-05-17,FUK,92
2019-05-17,CTS,30
2019-05-18,NRT,384
2019-05-18,HND,292
2019-05-18,KIX,139
2019-05-18,FUK,94
2019-05-18,CTS,32
2019-05-19,NRT,323
2019-05-19,HND,332
2019-05-19,KIX,140
2019-05-19,FUK,99
2019-05-19,CTS,32
2019-05-20,NRT,305
2019-05-20,HND,302
2019-05-20,KIX,128
2019-05-20,FUK,81
2019-05-20,CTS,31
2019-05-21,NRT,298
2019-05-21,HND,289
2019-05-21,KIX,133
2019-05-21,FUK,90
2019-05-21,CTS,30
2019-05-22,NRT,342
2019-05-22,HND,301
2019-05-22,KIX,126
2019-05-22,FUK,77
2019-05-22,CTS,32
2019-05-23,NRT,295
2019-05-23,HND,307
2019-05-23,KIX,150
2019-05-23,FUK,81
2019-05-23,CTS,30
2019-05-24,NRT,306
2019-05-24,HND,256
2019-05-24,KIX,129
2019-05-24,FUK,93
2019-05-24,CTS,30
2019-05-25,NRT,380
2019-05-25,HND,343
2019-05-25,KIX,149
2019-05-25,FUK,87
2019-05-25,CTS,34
2019-05-26,NRT,328
2019-05-26,HND,324
2019-05-26,KIX,143
2019-05-26,FUK,88
2019-05-26,CTS,34
2019-05-27,NRT,298
2019-05-27,HND,312
2019-05-27,KIX,148
2019-05-27,FUK,88
2019-05-27,CTS,28
2019-05-28,NRT,306
2019-05-28,HND,313
2019-05-28,KIX,132
2019-05-28,FUK,93
2019-05-28,CTS,30
2019-05-29,NRT,347
2019-05-29,HND,284
2019-05-29,KIX,153
2019-05-29,FUK,76
2019-05-29,CTS,27
2019-05-30,NRT,323
2019-05-30,HND,272
2019-05-30,KIX,149
2019-05-30,FUK,81
2019-05-30,CTS,27
2019-05-31,NRT,307
2019-05-31,HND,275
2019-05-31,KIX,143
2019-05-31,FUK,76
2019-05-31,CTS,31
2019-06-01,NRT,328
2019-06-01,HND,336
2019-06-01,KIX,161
2019-06-01,FUK,95
2019-06-01,CTS,34
2019-06-02,NRT,352
2019-06-02,HND,326
2019-06-02,KIX,160
2019-06-02,FUK,93
2019-06-02,CTS,33
2019-06-03,NRT,300
2019-06-03,HND,273
2019-06-03,KIX,145
2019-06-03,FUK,81
2019-06-03,CTS,30
2019-06-04,NRT,315
2019-06-04,HND,287
2019-06-04,KIX,127
2019-06-04,FUK,87
2019-06-04,CTS,30
2019-06-05,NRT,324
2019-06-05,HND,264
2019-06-05,KIX,146
2019-06-05,FUK,82
2019-06-05,CTS,29
2019-06-06,NRT,295
2019-06-06,HND,305
2019-06-06,KIX,140
2019-06-06,FUK,91
2019-06-06,CTS,32
2019-06-07,NRT,340
2019-06-07,HND,268
2019-06-07,KIX,129
2019-06-07,FUK,80
2019-06-07,CTS,30
2019-06-08,NRT,334
2019-06-08,HND,331
2019-06-08,KIX,165
2019-06-08,FUK,89
2019-06-08,CTS,32
2019-06-09,NRT,380
2019-06-09,HND,332
2019-06-09,KIX,164
2019-06-09,FUK,101
2019-06-09,CTS,30
2019-06-10,NRT,306
2019-06-10,HND,257
2019-06-10,KIX,138
2019-06-10,FUK,81
2019-06-10,CTS,30
2019-06-11,NRT,304
2019-06-11,HND,277
2019-06-11,KIX,128
2019-06-11,FUK,86
2019-06-11,CTS,30
2019-06-12,NRT,339
2019-06-12,HND,304
2019-06-12,KIX,145
2019-06-12,FUK,88
2019-06-12,CTS,31
2019-06-13,NRT,345
2019-06-13,HND,259
2019-06-13,KIX,137
2019-06-13,FUK,88
2019-06-13,CTS,27
2019-06-14,NRT,288
2019-06-14,HND,308
2019-06-14,KIX,146
2019-06-14,FUK,83
2019-06-14,CTS,31
2019-06-15,NRT,336
2019-06-15,HND,305
2019-06-15,KIX,142
2019-06-15,FUK,84
2019-06-15,CTS,31
2019-06-16,NRT,383
2019-06-16,HND,332
2019-06-16,KIX,149
2019-06-16,FUK,90
2019-06-16,CTS,35
2019-06-17,NRT,334
2019-06-17,HND,303
2019-06-17,KIX,132
2019-06-17,FUK,80
2019-06-17,CTS,29
2019-06-18,NRT,348
2019-06-18,HND,279
2019-06-18,KIX,153
2019-06-18,FUK,92
2019-06-18,CTS,32
2019-06-19,NRT,346
2019-06-19,HND,306
2019-06-19,KIX,150
2019-06-19,FUK,88
2019-06-19,CTS,31
2019-06-20,NRT,319
2019-06-20,HND,298
2019-06-20,KIX,139
2019-06-20,FUK,80
2019-06-20,CTS,31
2019-06-21,NRT,289
2019-06-21,HND,287
2019-06-21,KIX,126
2019-06-21,FUK,88
2019-06-21,CTS,30
2019-06-22,NRT,342
2019-06-22,HND,295
2019-06-22,KIX,148
2019-06-22,FUK,88
2019-06-22,CTS,32
2019-06-23,NRT,329
2019-06-23,HND,325
2019-06-23,KIX,154
2019-06-23,FUK,89
2019-06-23,CTS,32
2019-06-24,NRT,319
2019-06-24,HND,304
2019-06-24,KIX,133
2019-06-24,FUK,85
2019-06-24,CTS,32
2019-06-25,NRT,344
2019-06-25,HND,307
2019-06-25,KIX,126
2019-06-25,FUK,90
2019-06-25,CTS,32
2019-06-26,NRT,321
2019-06-26,HND,276
2019-06-26,KIX,152
2019-06-26,FUK,80
2019-06-26,CTS,27
2019-06-27,NRT,321
2019-06-27,HND,265
2019-06-27,KIX,130
2019-06-27,FUK,79
2019-06-27,CTS,32
2019-06-28,NRT,321
2019-06-28,HND,299
2019-06-28,KIX,153
2019-06-28,FUK,76
2019-06-28,CTS,30
2019-06-29,NRT,373
2019-06-29,HND,329
2019-06-29,KIX,166
2019-06-29,FUK,86
2019-06-29,CTS,31
2019-06-30,NRT,355
2019-06-30,HND,342
2019-06-30,KIX,153
2019-06-30,FUK,85
2019-06-30,CTS,33
2019-07-01,NRT,292
2019-07-01,HND,259
2019-07-01,KIX,131
2019-07-01,FUK,76
2019-07-01,CTS,29
2019-07-02,NRT,298
2019-07-02,HND,261
2019-07-02,KIX,144
2019-07-02,FUK,87
2019-07-02,CTS,29
2019-07-03,NRT,292
2019-07-03,HND,287
2019-07-03,KIX,130
2019-07-03,FUK,91
2019-07-03,CTS,29
2019-07-04,NRT,333
2019-07-04,HND,304
2019-07-04,KIX,139
2019-07-04,FUK,89
2019-07-04,CTS,27
2019-07-05,NRT,338
2019-07-05,HND,273
2019-07-05,KIX,127
2019-07-05,FUK,86
2019-07-05,CTS,29
2019-07-06,NRT,321
2019-07-06,HND,332
2019-07-06,KIX,139
2019-07-06,FUK,93
2019-07-06,CTS,35
2019-07-07,NRT,371
2019-07-07,HND,344
2019-07-07,KIX,158
2019-07-07,FUK,100
2019-07-07,CTS,34
2019-07-08,NRT,314
2019-07-08,HND,301
2019-07-08,KIX,136
2019-07-08,FUK,87
2019-07-08,CTS,28
2019-07-09,NRT,351
2019-07-09,HND,309
2019-07-09,KIX,141
2019-07-09,FUK,82
2019-07-09,CTS,27
2019-07-10,NRT,337
2019-07-10,HND,305
2019-07-10,KIX,145
2019-07-10,FUK,79
2019-07-10,CTS,30
2019-07-11,NRT,319
2019-07-11,HND,271
2019-07-11,KIX,137
2019-07-11,FUK,83
2019-07-11,CTS,30
2019-07-12,NRT,337
2019-07-12,HND,287
2019-07-12,KIX,136
2019-07-12,FUK,90
2019-07-12,CTS,27
2019-07-13,NRT,347
2019-07-13,HND,284
2019-07-13,KIX,146
2019-07-13,FUK,93
2019-07-13,CTS,35
2019-07-14,NRT,341
2019-07-14,HND,339
2019-07-14,KIX,158
2019-07-14,FUK,88
2019-07-14,CTS,30
2019-07-15,NRT,339
2019-07-15,HND,267
2019-07-15,KIX,151
2019-07-15,FUK,82
2019-07-15,CTS,28
2019-07-16,NRT,299
2019-07-16,HND,308
2019-07-16,KIX,142
2019-07-16,FUK,83
2019-07-16,CTS,32
2019-07-17,NRT,349
2019-07-17,HND,291
2019-07-17,KIX,140
2019-07-17,FUK,89
2019-07-17,CTS,30
2019-07-18,NRT,342
2019-07-18,HND,297
2019-07-18,KIX,150
2019-07-18,FUK,81
2019-07-18,CTS,30
2019-07-19,NRT,323
2019-07-19,HND,311
2019-07-19,KIX,148
2019-07-19,FUK,79
2019-07-19,CTS,27
2019-07-20,NRT,370
2019-07-20,HND,310
2019-07-20,KIX,147
2019-07-20,FUK,94
2019-07-20,CTS,35
2019-07-21,NRT,355
2019-07-21,HND,331
2019-07-21,KIX,163
2019-07-21,FUK,100
2019-07-21,CTS,31
2019-07-22,NRT,299
2019-07-22,HND,311
2019-07-22,KIX,132
2019-07-22,FUK,76
2019-07-22,CTS,29
2019-07-23,NRT,351
2019-07-23,HND,307
2019-07-23,KIX,152
2019-07-23,FUK,88
2019-07-23,CTS,30
2019-07-24,NRT,300
2019-07-24,HND,290
2019-07-24,KIX,145
2019-07-24,FUK,91
2019-07-24,CTS,29
2019-07-25,NRT,345
2019-07-25,HND,257
2019-07-25,KIX,126
2019-07-25,FUK,78
2019-07-25,CTS,28
2019-07-26,NRT,346
2019-07-26,HND,274
2019-07-26,KIX,131
2019-07-26,FUK,86
2019-07-26,CTS,30
2019-07-27,NRT,341
2019-07-27,HND,330
2019-07-27,KIX,144
2019-07-27,FUK,93
2019-07-27,CTS,34
2019-07-28,NRT,368
2019-07-28,HND,285
2019-07-28,KIX,148
2019-07-28,FUK,89
2019-07-28,CTS,32
2019-07-29,NRT,323
2019-07-29,HND,282
2019-07-29,KIX,148
2019-07-29,FUK,83
2019-07-29,CTS,31
2019-07-30,NRT,313
2019-07-30,HND,304
2019-07-30,KIX,151
2019-07-30,FUK,85
2019-07-30,CTS,29
2019-07-31,NRT,308
2019-07-31,HND,257
2019-07-31,KIX,129
2019-07-31,FUK,84
2019-07-31,CTS,27
2019-08-01,NRT,359
2019-08-01,HND,343
2019-08-01,KIX,153
2019-08-01,FUK,92
2019-08-01,CTS,36
2019-08-02,NRT,346
2019-08-02,HND,317
2019-08-02,KIX,151
2019-08-02,FUK,104
2019-08-02,CTS,36
2019-08-03,NRT,413
2019-08-03,HND,396
2019-08-03,KIX,190
2019-08-03,FUK,108
2019-08-03,CTS,37
2019-08-04,NRT,418
2019-08-04,HND,366
2019-08-04,KIX,159
2019-08-04,FUK,114
2019-08-04,CTS,39
2019-08-05,NRT,334
2019-08-05,HND,338
2019-08-05,KIX,154
2019-08-05,FUK,101
2019-08-05,CTS,33
2019-08-06,NRT,356
2019-08-06,HND,358
2019-08-06,KIX,158
2019-08-06,FUK,105
2019-08-06,CTS,33
2019-08-07,NRT,388
